,brand,model,category,id
217,TOYOTA,TOYOTA HILUX SW4 4X4 3.0 12V V6,SUV,218
218,GM - CHEVROLET,GM - CHEVROLET CORSA SED. PREMIUM 1.4 8V ECONOFLEX 4P,Sedã,219
219,GM - CHEVROLET,GM - CHEVROLET MONTANA LS 1.4 ECONOFLEX 8V 2P,,220
220,VW - VOLKSWAGEN,VW - VOLKSWAGEN FUSCA 2.0 TSI 16V AUT.,Hatch,221
221,FIAT,FIAT GRAND SIENA,,222
222,GM - CHEVROLET,GM - CHEVROLET PRISMA,,223
223,FORD,FORD FIESTA 1.6 16V FLEX MEC. 5P,Hatch,224
224,SUZUKI,SUZUKI JIMNY WIDE/ JIMNY/4ALL 1.3 16V,SUV,225
225,VW - VOLKSWAGEN,VW - VOLKSWAGEN VOYAGE  TRENDLINE 1.0 T.FLEX 8V 4P,Sedã,226
226,DODGE,DODGE RAM 2500 LARAMIE 6.7 TDI CD 4X4 DIES,Pick-up,227
227,FIAT,FIAT STRADA 1.3 MPI FIRE 8V 67CV CS,Pick-up,228
228,VW - VOLKSWAGEN,VW - VOLKSWAGEN FOX 1.6 MI TOTAL FLEX 8V 5P,Passeio,229
229,MITSUBISHI,MITSUBISHI L200 TRITON SAVANA 3.2 CD TBI DIES. AUT.,Pick-up,230
230,TOYOTA,TOYOTA HILUX CD SRV D4-D 4X4 3.0  TDI DIES,Pick-up,231
231,TOYOTA,TOYOTA COROLLA XLI 1.6 16V 110CV MEC.,Sedã,232
232,GM - CHEVROLET,GM - CHEVROLET ONIX HATCH ACTIV 1.4 8V FLEX 5P MEC.,Hatch,233
233,HYUNDAI,HYUNDAI HB20S C.PLUS/C.STYLE 1.6 FLEX 16V MEC.4P,Sedã,234
234,FORD,FORD KA+ SEDAN 1.0 SEL TICVT FLEX 4P,Sedã,235
235,FORD,FORD ECOSPORT STORM 2.0 4WD 16V FLEX 5P AUT.,SUV,236
236,FORD,FORD F-250,,237
