,poster_id,car_id,car_mileage,car_year,title,price,publish_date,location,professional,link,id
210,918396122,174,53932,2013,FOX ITREND COMPLETO! 12/13,31000,2021-08-14T18:22:00,Fortaleza,False,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fox-itrend-completo-12-13-918396122,211
211,893336262,42,89000,2014,FIAT SIENA EL 1.4 ANO 2014 COMPLETO ,31900,2021-08-14T18:22:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-siena-el-1-4-ano-2014-completo-893336262,212
212,869831764,175,50000,2014,COBALT 1.4 LS  2014 APENAS 50.000KM,36000,2021-08-14T18:22:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/cobalt-1-4-ls-2014-apenas-50-000km-869831764,213
213,899542547,176,3000,2021,HB20 1.0 EVOLUTION 2021/2021 (com 3.000km rodados) Novo!!!,69890,2021-08-14T18:22:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hb20-1-0-evolution-2021-2021-com-3-000km-rodados-novo-899542547,214
214,906210232,177,54000,2014,Uno Sporting 1.4 2015 (85)98905.2765,40990,2021-08-14T18:22:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/uno-sporting-1-4-2015-85-98905-2765-906210232,215
215,738555889,178,0,2012, Uno Furgão 1.3 Fire Carro todo Revisado 4 Pneus novos ,23990,2021-08-14T18:22:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/uno-furgao-1-3-fire-carro-todo-revisado-4-pneus-novos-738555889,216
216,905573018,179,33527,2020,Fiat Doblò Essence 1.8 16V (Flex),82680,2021-08-14T18:24:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-dobl-essence-1-8-16v-flex-905573018,217
217,918396582,180,2 portas,,Celta 2001,9500,2021-08-14T18:24:00,Fortaleza,False,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/celta-2001-918396582,218
218,853592772,181,18000,2019,Civic EXL 2.0 2019,115990,2021-08-14T18:23:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/civic-exl-2-0-2019-853592772,219
219,918396754,182,58000,2018,CRUZE LTZ 1.4 TURBO 2018 ,85000,2021-08-14T18:25:00,Eusébio,False,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/cruze-ltz-1-4-turbo-2018-918396754,220
220,918396669,183,,,Carrro ,13000,2021-08-14T18:24:00,Fortaleza,False,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/carrro-918396669,221
221,900468822,184,23541,2017,FOX 2016/2017 1.6 MSI RUN 8V FLEX 4P MANUAL,49900,2021-08-14T18:26:00,Maracanaú,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fox-2016-2017-1-6-msi-run-8v-flex-4p-manual-900468822,222
222,918397282,185,150000,2013,Spin Ltz 7 Lugares raridade Ano2013 Sem Detalhes,43500,2021-08-14T18:27:00,Fortaleza,False,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/spin-ltz-7-lugares-raridade-ano2013-sem-detalhes-918397282,223
223,910339762,115,,,Volvo Xc90 2.0 D5 DIESEL INSCRIPTION AWD GEARTRONIC,389900,2021-08-14T18:28:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volvo-xc90-2-0-d5-diesel-inscription-awd-geartronic-910339762,224
224,918397800,39,24000,2016,Classic em estado de Zero. 24 km,37500,2021-08-14T18:28:00,Fortaleza,False,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/classic-em-estado-de-zero-24-km-918397800,225
225,918397720,186,78000,2012,AZERA 3.0 2012  BLINDADO   = OKM,57900,2021-08-14T18:28:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/azera-3-0-2012-blindado--okm-918397720,226
226,903800880,187,134000,2011,TR4 2011 Manual EXTRA,52900,2021-08-14T18:30:00,Aquiraz,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/tr4-2011-manual-extra-903800880,227
227,918398198,188,136247,2001,Corsa 2001,9000,2021-08-14T18:30:00,Fortaleza,False,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/corsa-2001-918398198,228
